,X,Y,facies_threshold_0.3,porosity,permeability,acoustic_impedance
0,565,1485,1,0.1184,6.17,2.009
1,2585,1185,1,0.1566,6.275,2.864
2,2065,2865,2,0.192,92.29700000000001,3.5239999999999996
3,3575,2655,1,0.1621,9.048,2.157
4,1835,35,1,0.1766,7.122999999999999,3.9789999999999996
5,3375,2525,1,0.1239,1.4680000000000002,2.3369999999999997
6,2295,1325,1,0.179,31.933000000000003,3.491
7,3715,3045,2,0.1914,116.781,2.187
8,2865,2215,1,0.1763,3.003,2.048
9,55,1545,1,0.1674,5.212999999999999,2.251
10,2125,1105,1,0.1369,3.693,3.627
11,565,195,1,0.1095,0.2627,2.86
12,3475,1035,1,0.1677,9.914,2.742
13,545,3765,1,0.1817,14.311,3.045
14,2765,925,1,0.11900000000000001,0.7731,2.323
15,1385,2415,2,0.1774,22.578000000000003,2.7110000000000003
16,2965,2605,2,0.1418,18.743,2.583
17,245,3765,1,0.1296,9.092,3.801
18,1895,2325,2,0.1325,0.4642,3.7710000000000004
19,2485,3525,1,0.1729,146.319,2.3409999999999997
20,3685,515,1,0.08494,0.06072999999999999,3.872
21,2835,505,1,0.188,31.180999999999997,2.316
22,855,225,1,0.1147,1.432,3.0810000000000004
23,3665,2685,1,0.1795,76.298,2.175
24,2625,3185,1,0.1981,124.22200000000001,2.451
25,165,2515,1,0.1258,3.523,3.173
26,1785,3145,2,0.215,201.363,2.877
27,745,3485,1,0.1781,3.2539999999999996,2.484
28,1975,1445,1,0.1428,11.283,3.697
29,2085,1215,2,0.1495,3.227,3.801
30,3035,745,1,0.1435,1.504,2.221
31,1145,1245,1,0.1026,0.08757999999999999,2.533
32,585,2355,1,0.1772,28.663,2.859
33,2405,2005,2,0.19,5.153,2.761
34,2125,1515,2,0.1597,5.218999999999999,3.7960000000000003
35,2235,2565,2,0.1453,15.9,3.89
36,165,2895,1,0.1653,15.527999999999999,2.7889999999999997
37,1775,1175,1,0.17600000000000002,10.832,3.734
38,3505,1525,2,0.2232,174.65400000000002,3.344
39,3375,1565,1,0.1336,1.73,2.944
40,2485,3925,1,0.1819,20.725,2.35
41,1975,3505,2,0.1591,5.24,2.3080000000000003
42,2965,595,2,0.1328,1.521,2.537
43,1785,1045,1,0.1517,2.766,3.562
44,1045,255,1,0.1061,0.17300000000000001,3.275
45,3345,565,1,0.08187,0.3709,3.008
46,2825,2255,2,0.1682,8.78,2.166
47,3555,1025,1,0.1367,1.4080000000000001,2.972
48,865,1605,1,0.1628,19.452,2.015
49,945,1205,1,0.1305,1.226,2.072
50,1755,85,2,0.1097,0.7976,3.943
51,1655,2985,2,0.2062,17.585,3.444
52,2825,2055,2,0.168,12.08,2.03
53,3355,2305,1,0.1663,4.667,2.0540000000000003
54,2005,3775,1,0.1231,1.9609999999999999,2.083
55,1815,3345,2,0.1965,199.952,2.747
56,1005,1275,1,0.1292,0.8418,2.2640000000000002
57,155,3735,1,0.1347,0.2424,3.911
58,1265,2735,2,0.1481,0.1702,2.8139999999999996
59,3415,3805,2,0.1523,3.9419999999999997,3.49
60,2615,1025,1,0.1388,1.4909999999999999,2.383
61,2755,1655,2,0.1574,5.232,2.6189999999999998
62,2315,3125,2,0.1769,4.867,2.985
63,845,3915,1,0.1982,410.57,2.781
64,2035,2395,2,0.161,5.438,3.984
65,375,405,1,0.1584,7.227,3.213
66,1215,1915,1,0.1594,0.9790000000000001,3.614
67,415,3395,1,0.1146,1.097,3.114
68,365,1365,1,0.1367,5.1,2.4530000000000003
69,2685,3435,2,0.1742,3.655,2.9789999999999996
70,3295,3505,2,0.1585,2.675,2.9539999999999997
71,3625,685,1,0.1065,0.3297,3.6039999999999996
72,2525,2345,2,0.18100000000000002,4.977,2.637
73,1005,805,1,0.1372,2.9739999999999998,2.943
74,425,1505,1,0.1384,0.1845,2.046
75,545,2815,1,0.0991,0.0931,2.234
76,395,1235,1,0.13699999999999998,5.716,2.801
77,2645,3015,2,0.1957,13.194,2.371
78,375,2055,1,0.1032,0.295,2.83
79,1265,3105,2,0.1973,114.044,2.75
80,795,2495,1,0.1336,16.908,2.718
81,2685,3235,1,0.1792,55.935,2.6210000000000004
82,2925,1355,1,0.152,5.74,2.553
83,415,1125,1,0.08245,0.03486,3.283
84,3335,2465,1,0.1505,3.988,2.346
85,3365,1605,1,0.0938,1.5390000000000001,3.017
86,1465,705,1,0.1563,10.279000000000002,3.2430000000000003
87,2805,1055,1,0.1277,9.009,2.5469999999999997
88,1795,1085,1,0.141,2.7889999999999997,3.609
89,935,2515,1,0.1712,54.898,2.7460000000000004
90,2915,1615,1,0.1428,31.099,2.471
91,3835,1095,1,0.07338,0.02198,3.775
92,3165,1865,1,0.1595,5.768,2.146
93,2725,3765,2,0.1079,0.4611,3.188
94,1365,2715,1,0.1191,0.2666,2.7880000000000003
95,285,3835,1,0.132,0.607,3.8510000000000004
96,725,2595,1,0.1394,2.766,2.481
97,1855,3025,2,0.2154,463.64099999999996,3.091
98,25,2695,1,0.1428,3.5380000000000003,3.5269999999999997
99,3705,3455,2,0.1416,1.6869999999999998,2.81
100,2475,1865,2,0.1658,9.212,2.678
101,2565,2185,2,0.187,52.699,2.407
102,3165,3925,2,0.1796,17.616,3.313
103,1415,705,1,0.177,16.227999999999998,3.214
104,3365,135,1,0.1714,15.612,3.227
105,3775,3465,2,0.1438,2.238,3.028
106,2695,1915,1,0.18600000000000003,19.002,2.0669999999999997
107,35,515,1,0.0964,0.4258,3.222
108,3005,315,1,0.1455,3.509,2.667
109,2205,355,1,0.1322,0.3612,3.8680000000000003
110,2365,355,1,0.06726,0.1517,3.833
111,2255,1045,1,0.1162,0.2283,3.295
112,2375,1835,2,0.1021,1.518,3.1260000000000003
113,2325,3995,1,0.1396,1.2429999999999999,2.131
114,3955,235,1,0.1139,0.1293,3.815
115,1975,1415,1,0.1576,3.005,3.761
116,2195,555,1,0.1417,3.185,3.7960000000000003
117,2665,3205,2,0.2159,273.98,2.551
118,3325,3065,2,0.1352,3.213,2.267
119,1035,85,1,0.0964,0.1081,3.282
120,1555,2325,1,0.1853,13.939,2.8689999999999998
121,925,555,1,0.1898,137.412,3.397
122,2065,1665,2,0.1785,9.32,3.822
123,2225,705,1,0.1648,3.656,3.572
124,1195,3695,2,0.1367,9.578,3.377
125,1965,3265,2,0.1644,14.558,2.7689999999999997
126,455,2425,1,0.1376,9.587,2.7769999999999997
127,1615,2285,2,0.1974,159.567,3.167
128,2585,2535,2,0.1498,2.279,2.911
129,505,475,1,0.1524,131.47799999999998,3.76
130,3745,2875,1,0.1579,9.802,2.205
131,665,705,1,0.147,0.976,3.826
132,3765,1925,1,0.1105,0.2586,3.57
133,3075,1285,1,0.1825,22.825,2.3040000000000003
134,3385,905,1,0.1227,1.9980000000000002,2.81
135,3505,2775,2,0.1414,0.9840000000000001,2.359
136,195,2385,1,0.1347,0.5062,3.217
137,405,1985,1,0.165,6.308,2.589
138,1855,3095,2,0.2019,257.99,2.886
139,1635,1465,1,0.1487,2.697,3.9219999999999997
140,3115,425,1,0.1784,4.9830000000000005,2.525
141,1745,255,2,0.0784,1.015,3.949
142,3925,375,1,0.1061,0.03973,3.767
143,3885,2055,1,0.1491,12.667,3.3169999999999997
144,1135,1895,1,0.0915,0.0932,3.44
145,2915,2805,2,0.1677,3.615,2.405
146,2295,2585,2,0.1811,11.37,3.825
147,2345,1835,2,0.1377,6.656000000000001,3.042
148,1975,2745,2,0.2158,361.704,3.839
149,1965,1215,1,0.1356,12.144,3.735
150,3845,1025,1,0.1062,0.08598,3.841
151,3595,925,1,0.132,2.575,3.39
152,3745,115,1,0.05,0.01653,3.5269999999999997
153,385,1175,1,0.08678,0.5046,3.1439999999999997
154,3405,1035,1,0.1474,2.522,2.84
155,1895,3475,2,0.16399999999999998,21.14,2.383
156,1175,2855,1,0.15,2.499,2.544
157,995,635,1,0.1606,13.401,3.46
158,185,2645,2,0.1478,3.4930000000000003,3.116
159,3475,1855,1,0.1645,14.927,2.84
160,2055,385,1,0.1415,1.058,3.878
161,1465,1855,2,0.1821,43.468,3.935
162,375,2875,1,0.1319,2.0540000000000003,2.239
163,275,675,1,0.08012000000000001,0.05744,3.9019999999999997
164,2455,2885,2,0.2158,9.592,2.773
165,2255,35,1,0.177,23.666,3.92
166,2725,3835,2,0.08209,0.7594,3.145
167,2495,285,2,0.1254,2.021,3.7569999999999997
168,2565,1695,2,0.1611,6.744,2.957
169,2675,2965,2,0.1916,78.851,2.62
170,725,585,1,0.1742,7.771,3.807
171,3735,2585,1,0.2063,30.258000000000003,2.1
172,1455,365,1,0.122,4.784,3.41
173,1755,805,1,0.1541,2.403,3.1210000000000004
174,175,3555,1,0.1435,13.415999999999999,3.53
175,3115,55,1,0.1505,2.648,2.9539999999999997
176,2895,3245,2,0.192,61.928999999999995,3.17
177,3135,2295,2,0.1104,0.4525,2.162
178,2265,55,1,0.1717,5.692,3.9130000000000003
179,1395,215,1,0.1394,3.722,3.5010000000000003
180,2215,2585,2,0.1503,55.678000000000004,3.8810000000000002
181,1685,3475,2,0.18,4.415,3.065
182,1495,3465,2,0.16399999999999998,14.837,3.3939999999999997
183,2695,1155,1,0.1808,9.382,2.434
184,415,185,1,0.1577,29.165,2.267
185,805,155,1,0.1211,0.3441,3.0860000000000003
186,425,2755,1,0.1523,3.83,2.112
187,1305,1325,1,0.1467,0.7983,3.135
188,2855,1805,2,0.1591,14.714,2.1919999999999997
189,1825,505,1,0.1367,2.73,3.6919999999999997
190,3175,2555,2,0.192,88.459,2.416
191,2375,595,1,0.1359,1.038,3.574
192,1915,3805,1,0.1513,6.386,2.072
193,555,625,1,0.1473,0.6985,3.9330000000000003
194,2635,2435,2,0.1377,23.883000000000003,2.625
195,2475,785,1,0.1634,9.542,2.945
196,3695,2325,1,0.1548,6.412000000000001,2.298
197,375,1705,1,0.1321,2.404,2.0869999999999997
198,3795,535,1,0.06092,0.015819999999999997,3.907
199,3455,1645,1,0.1505,0.99,2.992
