X,Y,facies,porosity,perm,ai,% porosity,perm-por ratio,porosity type,perm cutoff,kozeny carmen
3505,1525,2,0.2232,174.65400000000002,3.344,22.32,782.5000000000001,high,174.65400000000002,0.18427403135841575
2455,2885,2,0.2158,9.592,2.773,21.58,44.44856348470807,high,9.592,0.16341828373836473
1975,2745,2,0.2158,361.704,3.839,21.58,1676.1075069508806,high,361.704,0.16341828373836473
1855,3025,2,0.2154,463.64099999999996,3.091,21.54,2152.4651810584955,high,463.64099999999996,0.1623455875592409
1785,3145,2,0.215,201.363,2.877,21.5,936.5720930232558,high,201.363,0.1612783480060043
3735,2585,1,0.2063,30.258000000000003,2.1,20.630000000000003,146.6698982064954,high,30.258000000000003,0.13937501377270667
1655,2985,2,0.2062,17.585,3.444,20.62,85.28128031037828,high,17.585,0.13913737119008926
1855,3095,2,0.2019,257.99,2.886,20.19,1277.8107974244676,high,257.99,0.12920946706829922
845,3915,1,0.1982,410.57,2.781,19.82,2071.4934409687185,high,410.57,0.12110967720981491
2625,3185,1,0.1981,124.22200000000001,2.451,19.81,627.0671378091873,high,124.22200000000001,0.12089629723557939
1615,2285,2,0.1974,159.567,3.167,19.74,808.3434650455928,high,159.567,0.11941066974644887
1265,3105,2,0.1973,114.044,2.75,19.73,578.023314749113,high,114.044,0.11919958127180987
1815,3345,2,0.1965,199.952,2.747,19.650000000000002,1017.5674300254452,high,199.952,0.11752111464737543
2645,3015,2,0.1957,13.194,2.371,19.57,67.41951967296883,high,13.194,0.11586075108940201
2895,3245,2,0.192,61.928999999999995,3.17,19.2,322.54687499999994,high,61.928999999999995,0.10841290069601019
3175,2555,2,0.192,88.459,2.416,19.2,460.7239583333333,high,88.459,0.10841290069601019
2065,2865,2,0.192,92.29700000000001,3.5239999999999996,19.2,480.71354166666674,high,92.29700000000001,0.10841290069601019
2675,2965,2,0.1916,78.851,2.62,19.16,411.53966597077243,high,78.851,0.10763013984043347
3715,3045,2,0.1914,116.781,2.187,19.139999999999997,610.1410658307211,high,116.781,0.10724037558403969
2405,2005,2,0.19,5.153,2.761,19.0,27.121052631578944,high,5.153,0.104541990550221
925,555,1,0.1898,137.412,3.397,18.98,723.9831401475237,high,137.412,0.10416076157113317
2835,505,1,0.188,31.180999999999997,2.316,18.8,165.8563829787234,high,31.180999999999997,0.10077701472979203
2565,2185,2,0.187,52.699,2.407,18.7,281.81283422459893,high,52.699,0.09893358084872364
2695,1915,1,0.18600000000000003,19.002,2.0669999999999997,18.6,102.16129032258063,high,19.002,0.09711582925342144
1555,2325,1,0.1853,13.939,2.8689999999999998,18.529999999999998,75.22396114409067,high,13.939,0.09585854337075446
3075,1285,1,0.1825,22.825,2.3040000000000003,18.25,125.06849315068493,high,22.825,0.0909521738723826
1465,1855,2,0.1821,43.468,3.935,18.21,238.7040087863811,high,43.468,0.09026708562618828
2485,3925,1,0.1819,20.725,2.35,18.19,113.93622869708632,high,20.725,0.08992600743049763
545,3765,1,0.1817,14.311,3.045,18.17,78.76169510181619,high,14.311,0.08958590381704325
2295,2585,2,0.1811,11.37,3.825,18.11,62.78299282164549,high,11.37,0.08857142025687821
2525,2345,2,0.18100000000000002,4.977,2.637,18.1,27.497237569060772,high,4.977,0.0884031868280953
2695,1155,1,0.1808,9.382,2.434,18.08,51.891592920353986,high,9.382,0.08806744384765623
1685,3475,2,0.18,4.415,3.065,18.0,24.52777777777778,high,4.415,0.08673408685306364
3165,3925,2,0.1796,17.616,3.313,17.96,98.08463251670378,high,17.616,0.08607314931936735
3665,2685,1,0.1795,76.298,2.175,17.95,425.05849582172704,high,76.298,0.08590851025351658
2685,3235,1,0.1792,55.935,2.6210000000000004,17.919999999999998,312.1372767857143,high,55.935,0.08541601784404698
2295,1325,1,0.179,31.933000000000003,3.491,17.9,178.39664804469277,high,31.933000000000003,0.08508887441565127
2065,1665,2,0.1785,9.32,3.822,17.849999999999998,52.21288515406163,high,9.32,0.08427514837287164
3115,425,1,0.1784,4.9830000000000005,2.525,17.84,27.93161434977579,high,4.9830000000000005,0.08411310962341986
745,3485,1,0.1781,3.2539999999999996,2.484,17.810000000000002,18.270634475014035,high,3.2539999999999996,0.08362840186090231
1385,2415,2,0.1774,22.578000000000003,2.7110000000000003,17.740000000000002,127.27170236753102,high,22.578000000000003,0.08250560174936478
585,2355,1,0.1772,28.663,2.859,17.72,161.755079006772,high,28.663,0.08218689753309248
