latitude_surface_hole,longitude_surface_hole
32.843697,-104.009239
32.571335,-103.541664
32.186798,-103.574158
32.263061,-103.604996
32.027077,-103.511139
32.625397,-103.786186
32.01625,-103.558058
32.443149,-102.506192
32.475848,-102.494728
32.477835,-102.487059
32.459742,-102.50386
32.455281,-102.506079
32.391598,-102.471274
32.402679,-102.780029
32.441178,-102.274388
32.444252,-102.502855
32.451787,-102.505528
32.460559,-102.5132
32.437669,-102.500396
32.446837,-102.508161
32.44078,-102.501768
32.120295,-102.629301
32.123907,-102.580938
32.442484,-102.268791
32.407329,-102.223712
32.396792,-102.220373
32.485322,-102.244027
32.506617,-102.233064
32.417265,-102.262278
32.404866,-102.267193
32.344462,-102.234866
32.353004,-102.246399
32.414707,-102.25703
32.410289,-102.260057
32.379688,-102.245896
32.501598,-102.223003
32.505001,-102.223681
32.482793,-102.238783
32.40579,-102.21455
32.356698,-102.24745
32.373238,-102.226291
32.354799,-102.237676
32.431438,-102.266075
32.418209,-102.258145
32.399349,-102.256978
32.412835,-102.215898
32.448115,-102.241669
32.437777,-102.220685
32.348762,-102.231381
32.350466,-102.241215
32.384786,-102.242439
32.373763,-102.238938
32.381006,-102.258957
32.370368,-102.270194
32.34584,-102.212359
32.328125,-102.257437
32.377999,-102.272987
32.370092,-102.255885
32.364881,-102.228078
32.371578,-102.234464
32.459386,-102.245698
32.449973,-102.219233
32.360308,-102.217592
32.45072,-102.228582
32.37338,-102.257181
32.341844,-102.242976
32.353563,-102.232523
32.346048,-102.240238
32.364331,-102.262833
32.506633,-102.251461
32.521292,-102.235513
32.518347,-102.222843
32.47096,-102.239215
32.449197,-102.236933
32.407005,-102.276741
32.449101,-102.223451
32.371945,-102.230025
32.359766,-102.217438
32.33997,-102.238008
32.398971,-102.211497
32.394967,-102.211545
32.404666,-102.218407
32.375938,-102.244955
32.383459,-102.247343
32.380486,-102.241513
32.408814,-102.229215
32.392326,-102.22347
32.370124,-102.23843
32.368746,-102.24685
32.360599,-102.213127
32.426066,-102.255567
32.412638,-102.265424
32.419291,-102.253411
32.402976,-102.275454
32.401272,-102.247679
32.412353,-102.250804
32.46127,-102.234154
32.45404,-102.231242
32.486515,-102.239784
32.482783,-102.252741
32.342336,-102.211248
32.36155,-102.226206
32.399349,-102.256978
32.444061,-102.213179
32.480316,-102.23355
32.400106,-102.252771
32.398307,-102.260688
32.409023,-102.21614
32.366861,-102.269095
32.408425,-102.254747
32.358853,-102.234899
32.358071,-102.23903
32.359021,-102.242755
32.365674,-102.241444
32.363785,-102.249703
32.362002,-102.257992
32.357044,-102.229491
32.359286,-102.221696
32.346244,-102.227068
32.353325,-102.229316
32.512987,-102.220732
32.499103,-102.216691
32.458376,-102.230367
32.441749,-102.22174
32.412865,-102.215907
32.342365,-102.22979
32.35686,-102.215727
32.339614,-102.242024
32.329892,-102.230084
32.327998,-102.238334
32.45276,-102.243186
32.359821,-102.267011
32.439007,-102.215552
32.372436,-102.243841
32.377198,-102.239935
32.338116,-102.246274
32.479258,-102.237663
32.486796,-102.254022
32.379926,-102.26369
32.374962,-102.266565
32.326043,-102.246898
32.32401,-102.256042
32.335179,-102.259408
32.369668,-102.224683
32.512586,-102.239408
32.520269,-102.241928
32.51722,-102.254835
32.484683,-102.229472
32.506082,-102.218941
32.509585,-102.220055
32.500713,-102.240058
32.495594,-102.229558
32.420774,-102.263396
32.419704,-102.268133
32.494356,-102.256833
32.502404,-102.253909
32.428395,-102.279368
32.435128,-102.282309
32.432921,-102.276862
32.398415,-102.279086
32.399335,-102.25704
32.396408,-102.268933
32.406613,-102.259561
32.332723,-102.217703
32.333449,-102.21451
32.456364,-102.239608
32.506686,-102.227902
32.339281,-102.224408
32.331872,-102.222102
32.359356,-102.225575
32.342214,-102.261516
32.407573,-102.255233
32.349252,-102.263582
32.461306,-102.236407
32.336184,-102.231133
32.504104,-102.237711
32.501323,-102.258648
32.42551,-102.273117
32.397854,-102.216616
32.491382,-102.2504
32.450203,-102.232674
32.424782,-102.277968
32.437737,-102.271087
32.426732,-102.269745
32.416203,-102.26703
32.409261,-102.250219
32.449762,-102.232775
32.472004,-102.234623
32.444571,-102.222508
32.385672,-102.216391
32.352548,-102.264647
32.351436,-102.260664
32.34557,-102.256276
32.345549,-102.256369
32.363058,-102.243866
32.352197,-102.262659
32.352175,-102.262753
32.35273,-102.264962
32.359514,-102.219961
32.359497,-102.220056
32.344873,-102.22686
32.35478,-102.251358
32.354758,-102.251452
32.352887,-102.257146
32.352909,-102.257053
32.355696,-102.235849
32.35576,-102.236088
32.355814,-102.235957
32.35608,-102.253182
32.356112,-102.253041
32.357614,-102.218571
32.357586,-102.218713
32.357558,-102.218855
32.352077,-102.254878
32.352109,-102.254737
32.352141,-102.254596
32.357909,-102.228481
32.357934,-102.228338
32.35796,-102.228196
32.341798,-102.240852
32.34183,-102.240712
32.341862,-102.240571
32.354422,-102.235094
32.354475,-102.234962
32.354528,-102.23483
32.349971,-102.261781
32.350123,-102.262159
32.350108,-102.262086
32.354496,-102.236477
